Title;Price;URL
"Труба эмал. с внешней изол., диам. 80 мм, длина  500 мм

 ";2 774,08;/catalog/913/40340/
"Коаксиальная труба с наконечником диам. 60/100 мм, 1100 мм, антиоблединительное исполнение

 ";3 312,17;/catalog/913/40261/
"Адаптер для подключения раздельных труб, диам. 80 мм, HTBAXI

 ";2 525,95;/catalog/913/39889/
"Коаксиальный комплект для слива конденсатаBAXI

 ";2 443;/catalog/913/39793/
"Коаксиальный отвод 45°, диам. 60/100 ммBAXI

 ";n/a;/catalog/913/39781/
"Муфта для соединения коаксиальных труб BAXI

 ";455,84;/catalog/913/36867/
"Отвод полипропиленовый 87°,  диам. 80 мм, HTBAXI

 ";455,84;/catalog/913/36597/
"Отвод полипропиленовый 45°,  диам. 80 мм, HTBAXI

 ";455,84;/catalog/913/36596/
"Труба полипропиленовая диам. 80 мм, длина  500 мм, HTBAXI

 ";496,96;/catalog/913/36595/
"Труба полипропиленовая диам. 80 мм, длина 1000 мм, HTBAXI

 ";662,15;/catalog/913/36594/
"Коаксиальное удлинение полипропиленовое, диам. 60/100 мм, длина  500 мм, HTBAXI

 ";1 076,18;/catalog/913/36546/
"Коаксиальное удлинение полипропиленовое, диам. 60/100 мм, длина 1000 мм, HTBAXI

 ";1 407,95;/catalog/913/36545/
"Коаксиальный отвод полипропиленовый 45°, диам. 80/125 мм, HTBAXI

 ";1 325,01;/catalog/913/36073/
"Коаксиальное удлинение полипропиленовое, диам. 80/125 мм, длина  500 мм, HTBAXI

 ";1 780,85;/catalog/913/36072/
"Коаксиальное удлинение полипропиленовое, диам. 80/125 мм, длина 1000 мм, HTBAXI

 ";2 774,08;/catalog/913/36071/
"Коаксиальный отвод полипропиленовый 87°, диам.110/160 мм, HTBAXI

 ";4 099,09;/catalog/913/36067/
"Коаксиальная труба с наконечником, диам.110/160 мм, длина 1000 мм, НТBAXI

 ";11 054,50;/catalog/913/36066/
"Присоединит. патрубок полипропиленовый диам. 110/80 мм с конденсатоотводчиком, HTBAXI

 ";2 484,13;/catalog/913/36027/
"Комплект переходной на раздельные трубы диам. 80 мм, HT (LUNA DUO-TEC 1.35-1.70) BAXI

 ";2 608,89;/catalog/913/36025/
"Коаксиальный отвод 90°, диам. 60/100 мм, для начального участка, с муфтойBAXI

 ";952,81;/catalog/913/35930/
"Труба эмал. с внешней изол., диам. 80 мм, длина  500 мм

 ";2 774,08;/catalog/913/40340/
"Коаксиальная труба с наконечником диам. 60/100 мм, 1100 мм, антиоблединительное исполнение

 ";3 312,17;/catalog/913/40261/
"Адаптер для подключения раздельных труб, диам. 80 мм, HTBAXI

 ";2 525,95;/catalog/913/39889/
"Коаксиальный комплект для слива конденсатаBAXI

 ";2 443;/catalog/913/39793/
"Коаксиальный отвод 45°, диам. 60/100 ммBAXI

 ";n/a;/catalog/913/39781/
"Муфта для соединения коаксиальных труб BAXI

 ";455,84;/catalog/913/36867/
"Отвод полипропиленовый 87°,  диам. 80 мм, HTBAXI

 ";455,84;/catalog/913/36597/
"Отвод полипропиленовый 45°,  диам. 80 мм, HTBAXI

 ";455,84;/catalog/913/36596/
"Труба полипропиленовая диам. 80 мм, длина  500 мм, HTBAXI

 ";496,96;/catalog/913/36595/
"Труба полипропиленовая диам. 80 мм, длина 1000 мм, HTBAXI

 ";662,15;/catalog/913/36594/
"Коаксиальное удлинение полипропиленовое, диам. 60/100 мм, длина  500 мм, HTBAXI

 ";1 076,18;/catalog/913/36546/
"Коаксиальное удлинение полипропиленовое, диам. 60/100 мм, длина 1000 мм, HTBAXI

 ";1 407,95;/catalog/913/36545/
"Коаксиальный отвод полипропиленовый 45°, диам. 80/125 мм, HTBAXI

 ";1 325,01;/catalog/913/36073/
"Коаксиальное удлинение полипропиленовое, диам. 80/125 мм, длина  500 мм, HTBAXI

 ";1 780,85;/catalog/913/36072/
"Коаксиальное удлинение полипропиленовое, диам. 80/125 мм, длина 1000 мм, HTBAXI

 ";2 774,08;/catalog/913/36071/
"Коаксиальный отвод полипропиленовый 87°, диам.110/160 мм, HTBAXI

 ";4 099,09;/catalog/913/36067/
"Коаксиальная труба с наконечником, диам.110/160 мм, длина 1000 мм, НТBAXI

 ";11 054,50;/catalog/913/36066/
"Присоединит. патрубок полипропиленовый диам. 110/80 мм с конденсатоотводчиком, HTBAXI

 ";2 484,13;/catalog/913/36027/
"Комплект переходной на раздельные трубы диам. 80 мм, HT (LUNA DUO-TEC 1.35-1.70) BAXI

 ";2 608,89;/catalog/913/36025/
"Коаксиальный отвод 90°, диам. 60/100 мм, для начального участка, с муфтойBAXI

 ";952,81;/catalog/913/35930/
"Теплоизоляция трубной обвязки

 ";n/a;/catalog/591/40238/
"Теплоизоляция в сборе, для кранов 1 1/2""

 ";n/a;/catalog/591/40237/
"Комплект подключения (eco/atmo/turbo TEC) к VIH R 120 включая группу безопасности (скрытый монтаж)

 ";n/a;/catalog/591/40231/
"Насосная группа VDM  8M: регулируемый контур, 3-х ст. насос, смеситель 1""VAILLANT

 ";n/a;/catalog/591/39874/
"Комплект подключения (eco/atmo/turbo TEC) к VIH R 120 включая группу безопасности (открытый монтаж)VAILLANT

 ";n/a;/catalog/591/36889/
"Регулятор отопления multiMATIC VRC 700/4VAILLANT

 ";16 008,11;/catalog/591/36382/
"Комплект для перенастройки на сжиженный газ для котлов 32-36 кВт atmo/turboTEC /5-3, /5-5VAILLANT

 ";1 407,95;/catalog/591/35970/
"Комплект для перенастройки на сжиженный газ для котлов 12-28 кВт atmo/turboTEC /5-3, /5-5VAILLANT

 ";1 407,95;/catalog/591/35874/
"Комплект для подключения VIH Q 75 B справа или слева от котлаVAILLANT

 ";n/a;/catalog/591/35474/
"Комнатный регулятор температуры VRT  50VAILLANT

 ";5 419,91;/catalog/591/35354/
"Трубная обвязка 80-120 кВт, регулируемый насосVAILLANT

 ";n/a;/catalog/591/31833/
"Термостат накладной ограничительныйVAILLANT

 ";n/a;/catalog/591/31827/
"Теплообменник PHE S 120-70 (120 кВт) со скобамиVAILLANT

 ";n/a;/catalog/591/31826/
"Сливная воронка R1VAILLANT

 ";n/a;/catalog/591/31793/
"Сервисные краны 1 1/2""VAILLANT

 ";n/a;/catalog/591/31650/
"Модуль ""2 из 7""VAILLANT

 ";2 813,11;/catalog/591/31644/
"Комплект для перенастройки на сж. газ для котлов 12-28 кВт atmo/turboTEC /3-3, /3-5VAILLANT

 ";10 096,12;/catalog/591/31445/
"Группа безопасности для водонагревателей VIH 120-200 в комбинации с нап. котлами (10 бар)VAILLANT

 ";n/a;/catalog/591/31416/
"Электропривод смесителя VRMVAILLANT

 ";13 007,51;/catalog/591/14677/
"Трехходовой смеситель VRM 3- 1 1/4""VAILLANT

 ";9 291,77;/catalog/591/14572/
"Комнатный регулятор Exacontrol 7PROTHERM

 ";4 064,93;/catalog/590/39817/
"Термостат к бойлерам FE 120/6 BM, 150/6 BM, 200/6 BM для PLOPROTHERM

 ";2 439,52;/catalog/590/39707/
"Комплект перевода на сжиженный газ для котлов Гепард MTV (2015)PROTHERM

 ";1 170,97;/catalog/590/36588/
"Комплект перевода на сжиженный газ для котлов Гепард MOV (2015)PROTHERM

 ";1 170,97;/catalog/590/36587/
"Датчик бойлера NTC для котлов Пантера (2015) 12 KTO, 25 KTO, 25 KOO, Рысь К 25 MKO, 30 MKOPROTHERM

 ";576,42;/catalog/590/36348/
"Комплект перевода на сжиженный газ для котлов Рысь HK 11/24 и Ягуар JTV 11/24PROTHERM

 ";1 463,71;/catalog/590/36158/
"Комплект перевода на сжиженный газ для котлов Пантера (2015) 30-35 кВтPROTHERM

 ";1 463,71;/catalog/590/35998/
"Комплект перевода на сжиженный газ для котлов Пантера (2015) 12-25 кВтPROTHERM

 ";1 170,97;/catalog/590/35924/
"Комплект соединения настенного котла с бойлером B60, снизу (без шлангов)PROTHERM

 ";n/a;/catalog/590/31475/
"Датчик температуры для бойлера, SPFPROTHERM

 ";1 318,04;/catalog/590/31425/
"Датчик наружной температуры, AFPROTHERM

 ";1 002,29;/catalog/590/31421/
"Трехходовый клапан для подключения бойлеров, 3/4""PROTHERM

 ";6 275,83;/catalog/590/14574/
"Трехходовый клапан для подключения бойлеров, 1""PROTHERM

 ";6 275,83;/catalog/590/14573/
"Термостат к бойлерам FS B300S, B400S, B500SPROTHERM

 ";4 692,93;/catalog/590/14571/
"Плата управления для соединения котла Медведь TLO с бойлеромPROTHERM

 ";3 639,06;/catalog/590/14055/
"Комплект соединения B100MSR и МЕДВЕДЬ PLOPROTHERM

 ";19 985,92;/catalog/590/14054/
"Датчик бойлера NTC для котлов Медведь KLOMPROTHERM

 ";579,91;/catalog/590/14053/
"Комплект перевода на сжиж. газ Пантера 12 кВт v. 19PROTHERM

 ";3 901,14;/catalog/590/14043/
"Комплект перевода на сжиж. газ Медведь v. 15 (TLO)PROTHERM

 ";1 318,04;/catalog/590/14042/
"Комплект перевода на сжиженный газ для котлов Гепард MOV (старого образца)PROTHERM

 ";5 748,90;/catalog/590/14040/
"Vaillant Элемент для оформления пересечения косой крыши, настраиваемый 25°-50° (черный)

 ";3 300,32;/catalog/585/40276/
"Vaillant Оголовок дымохода пластиковый d 110 мм

 ";n/a;/catalog/585/40242/
"Vaillant Отвод 45° d 110 PP

 ";n/a;/catalog/585/40241/
"Vaillant Труба удлинительная d 110 PP, 1,0 м.

 ";n/a;/catalog/585/40240/
"Vaillant Концентрическое соединение дымохода

 ";n/a;/catalog/585/40239/
"Vaillant Комплект для горизонтального прохода d 60/100 РР 

 ";4 516,59;/catalog/585/39735/
"Vaillant Адаптер разделительный d 80/80 PP для ecoTEC IV /5-5, /5-3 

 ";3 611,88;/catalog/585/36128/
"Vaillant Адаптер разделительный d 80/80 

 ";2 903,03;/catalog/585/35872/
"Vaillant Комплект для горизонтального прохода d 60/100, 1,0 м 

 ";1 910,49;/catalog/585/35782/
"Vaillant Комплект для горизонтального прохода d 60/100, 0,75 м 

 ";1 761,33;/catalog/585/35781/
"Vaillant Труба удлинительная d 110 PP, 2,0 м. 

 ";n/a;/catalog/585/35208/
"Vaillant Труба удлинительная d 80/125 PP, 0,25 м., с ревизией 

 ";3 616,06;/catalog/585/31276/
"Vaillant Труба удлинительная d 60/100 PP, 0,5 м. 

 ";2 209,51;/catalog/585/31269/
"Vaillant Труба удлинительная d 110/160 PP, 0,5 м. 

 ";n/a;/catalog/585/31265/
"Vaillant Разделяющее устройство d 80/125 PP 

 ";2 410,24;/catalog/585/31260/
"Vaillant Отвод 87° d 130 PP 

 ";4 620,45;/catalog/585/31252/
"Vaillant Отвод 87° d 110/160 PP 

 ";n/a;/catalog/585/31251/
"Vaillant Адаптер для VKK 476 со штуцерами 

 ";n/a;/catalog/585/31229/
"Vaillant Труба удлинительная d 80/125 PP, 1,0 м. 

 ";3 415,32;/catalog/585/29280/
"Vaillant Труба удлинительная d 130 PP, 1,0 м. 

 ";7 381,98;/catalog/585/29279/
"Теплоизоляция трубной обвязки

 ";n/a;/catalog/591/40238/
"Теплоизоляция в сборе, для кранов 1 1/2""

 ";n/a;/catalog/591/40237/
"Комплект подключения (eco/atmo/turbo TEC) к VIH R 120 включая группу безопасности (скрытый монтаж)

 ";n/a;/catalog/591/40231/
"Насосная группа VDM  8M: регулируемый контур, 3-х ст. насос, смеситель 1""VAILLANT

 ";n/a;/catalog/591/39874/
"Комплект подключения (eco/atmo/turbo TEC) к VIH R 120 включая группу безопасности (открытый монтаж)VAILLANT

 ";n/a;/catalog/591/36889/
"Регулятор отопления multiMATIC VRC 700/4VAILLANT

 ";16 008,11;/catalog/591/36382/
"Комплект для перенастройки на сжиженный газ для котлов 32-36 кВт atmo/turboTEC /5-3, /5-5VAILLANT

 ";1 407,95;/catalog/591/35970/
"Комплект для перенастройки на сжиженный газ для котлов 12-28 кВт atmo/turboTEC /5-3, /5-5VAILLANT

 ";1 407,95;/catalog/591/35874/
"Комплект для подключения VIH Q 75 B справа или слева от котлаVAILLANT

 ";n/a;/catalog/591/35474/
"Комнатный регулятор температуры VRT  50VAILLANT

 ";5 419,91;/catalog/591/35354/
"Трубная обвязка 80-120 кВт, регулируемый насосVAILLANT

 ";n/a;/catalog/591/31833/
"Термостат накладной ограничительныйVAILLANT

 ";n/a;/catalog/591/31827/
"Теплообменник PHE S 120-70 (120 кВт) со скобамиVAILLANT

 ";n/a;/catalog/591/31826/
"Сливная воронка R1VAILLANT

 ";n/a;/catalog/591/31793/
"Сервисные краны 1 1/2""VAILLANT

 ";n/a;/catalog/591/31650/
"Модуль ""2 из 7""VAILLANT

 ";2 813,11;/catalog/591/31644/
"Комплект для перенастройки на сж. газ для котлов 12-28 кВт atmo/turboTEC /3-3, /3-5VAILLANT

 ";10 096,12;/catalog/591/31445/
"Группа безопасности для водонагревателей VIH 120-200 в комбинации с нап. котлами (10 бар)VAILLANT

 ";n/a;/catalog/591/31416/
"Электропривод смесителя VRMVAILLANT

 ";13 007,51;/catalog/591/14677/
"Трехходовой смеситель VRM 3- 1 1/4""VAILLANT

 ";9 291,77;/catalog/591/14572/
"Vaillant Элемент для оформления пересечения косой крыши, настраиваемый 25°-50° (черный)

 ";3 300,32;/catalog/585/40276/
"Vaillant Оголовок дымохода пластиковый d 110 мм

 ";n/a;/catalog/585/40242/
"Vaillant Отвод 45° d 110 PP

 ";n/a;/catalog/585/40241/
"Vaillant Труба удлинительная d 110 PP, 1,0 м.

 ";n/a;/catalog/585/40240/
"Vaillant Концентрическое соединение дымохода

 ";n/a;/catalog/585/40239/
"Vaillant Комплект для горизонтального прохода d 60/100 РР 

 ";4 516,59;/catalog/585/39735/
"Vaillant Адаптер разделительный d 80/80 PP для ecoTEC IV /5-5, /5-3 

 ";3 611,88;/catalog/585/36128/
"Vaillant Адаптер разделительный d 80/80 

 ";2 903,03;/catalog/585/35872/
"Vaillant Комплект для горизонтального прохода d 60/100, 1,0 м 

 ";1 910,49;/catalog/585/35782/
"Vaillant Комплект для горизонтального прохода d 60/100, 0,75 м 

 ";1 761,33;/catalog/585/35781/
"Vaillant Труба удлинительная d 110 PP, 2,0 м. 

 ";n/a;/catalog/585/35208/
"Vaillant Труба удлинительная d 80/125 PP, 0,25 м., с ревизией 

 ";3 616,06;/catalog/585/31276/
"Vaillant Труба удлинительная d 60/100 PP, 0,5 м. 

 ";2 209,51;/catalog/585/31269/
"Vaillant Труба удлинительная d 110/160 PP, 0,5 м. 

 ";n/a;/catalog/585/31265/
"Vaillant Разделяющее устройство d 80/125 PP 

 ";2 410,24;/catalog/585/31260/
"Vaillant Отвод 87° d 130 PP 

 ";4 620,45;/catalog/585/31252/
"Vaillant Отвод 87° d 110/160 PP 

 ";n/a;/catalog/585/31251/
"Vaillant Адаптер для VKK 476 со штуцерами 

 ";n/a;/catalog/585/31229/
"Vaillant Труба удлинительная d 80/125 PP, 1,0 м. 

 ";3 415,32;/catalog/585/29280/
"Vaillant Труба удлинительная d 130 PP, 1,0 м. 

 ";7 381,98;/catalog/585/29279/
"Адаптер вертикальный d 60/100 мм (Рысь, Ягуар)PROTHERM

 ";1 366,83;/catalog/584/31293/
"Адаптер разделительный d 80/80 мм (Рысь, Ягуар)PROTHERM

 ";1 952,31;/catalog/584/30883/
"Труба удлинительная d 80 мм - 0,4 м с ревизиейPROTHERM

 ";5 474,28;/catalog/584/14580/
"Труба соосная d 60/100 мм - 0,2 м / T1D-200PROTHERM

 ";1 104,75;/catalog/584/14577/
"Труба концевая d 60/100 мм - 1,0 м / T3D-1000PROTHERM

 ";2 682,08;/catalog/584/14575/
"Розетка силиконовая d 100 мм - наружная / SR1DPROTHERM

 ";2 919,75;/catalog/584/14559/
"Разделительный элемент d 60/100 –&gt; 2 x в 80 мм / R1PROTHERM

 ";1 855,43;/catalog/584/14554/
"Надставка PROTHERM PT 50 (KLZ 16, KLOM 16, PLO 16) 

 ";10 438,35;/catalog/584/14261/
"Надставка PROTHERM PT 40 (KLZ 16, KLOM 16, PLO 16) 

 ";9 814,53;/catalog/584/14260/
"Надставка PROTHERM PT 30 (KLZ 16, KLOM 16, PLO 16) 

 ";9 271,56;/catalog/584/14259/
"Надставка PROTHERM PT 20 (KLZ 16, KLOM 16, PLO 16) 

 ";8 688,86;/catalog/584/14258/
"Манжета с хомутом d 100/100 мм / M1DPROTHERM

 ";487,90;/catalog/584/14232/
"Конденсатоотводчик d 80 мм / Z2PROTHERM

 ";1 625,42;/catalog/584/14231/
"Конденсатоотводчик d 60/100 мм / Z1PROTHERM

 ";2 963,67;/catalog/584/14230/
"Концевая деталь d 60/100 мм / DZ1DPROTHERM

 ";1 958,58;/catalog/584/14057/
"Комплект раздельных труб, d 80 мм / S2PROTHERM

 ";4 145,09;/catalog/584/14052/
"Колено с фланцем, 90°, d 60/100 мм / K5DPROTHERM

 ";2 031,77;/catalog/584/14017/
"Колено d 80 мм - 45° / K21PROTHERM

 ";1 104,75;/catalog/584/14015/
"Колено d 60/100 мм – 45° / K11DPROTHERM

 ";1 625,42;/catalog/584/14013/
"Горизонтальная система d 60/100 мм - 1,0 м / S5D-1000PROTHERM

 ";3 466,21;/catalog/584/13990/
"Отвод 90° d 80 мм (мама/мама)ATI

 ";480;/catalog/580/35957/
"Отвод 45° d 80 мм (мама/мама)ATI

 ";500;/catalog/580/35956/
"Труба удлинительная d 80 мм, 2,0 м, эмальATI

 ";970;/catalog/580/13744/
"Труба удлинительная d 80 мм, 1,0 м, эмальATI

 ";520;/catalog/580/13743/
"Труба удлинительная d 80 мм, 0,5 м, эмальATI

 ";405;/catalog/580/13742/
"Труба удлинительная d 80 мм, 0,25 м, эмальATI

 ";350;/catalog/580/13741/
"Труба коаксиальная d 60/100 мм, 2,0 мATI

 ";2 157,23;/catalog/580/13740/
"Труба коаксиальная d 60/100 мм, 1,0 мATI

 ";1 171,67;/catalog/580/13739/
"Труба коаксиальная d 60/100 мм, 0,25 мATI

 ";n/a;/catalog/580/13737/
"Решетка газоотвода из нержавеющей стали d 80 ммATI

 ";490;/catalog/580/13736/
"Решетка газоотвода из нержавеющей стали ""грибок"" d 80 ммATI

 ";790;/catalog/580/13732/
"Розетка декоративная d  80 мм стальнаяATI

 ";350;/catalog/580/13731/
"Розетка декоративная d 100 мм стальнаяATI

 ";395;/catalog/580/13730/
"Розетка декоративная d  80 мм резиноваяATI

 ";280;/catalog/580/13729/
"Розетка декоративная d 100 мм резиноваяATI

 ";345;/catalog/580/13728/
"Решетка воздухозабора из нержавеющей стали d 80 ммATI

 ";340;/catalog/580/13727/
"Решетка воздухозабора из пластика d 80 ммATI

 ";315;/catalog/580/13726/
"Регулятор воздуха d 80 мм прямоточный с инспекционным отверстиемATI

 ";575;/catalog/580/13725/
"Отвод коаксиальный 90° d 60/100 ммATI

 ";1 009,26;/catalog/580/13724/
"Отвод 90° d 80 ммATI

 ";430;/catalog/580/13722/
"Отвод 90° d 80 мм (мама/мама)ATI

 ";480;/catalog/580/35957/
"Отвод 45° d 80 мм (мама/мама)ATI

 ";500;/catalog/580/35956/
"Труба удлинительная d 80 мм, 2,0 м, эмальATI

 ";970;/catalog/580/13744/
"Труба удлинительная d 80 мм, 1,0 м, эмальATI

 ";520;/catalog/580/13743/
"Труба удлинительная d 80 мм, 0,5 м, эмальATI

 ";405;/catalog/580/13742/
"Труба удлинительная d 80 мм, 0,25 м, эмальATI

 ";350;/catalog/580/13741/
"Труба коаксиальная d 60/100 мм, 2,0 мATI

 ";2 157,23;/catalog/580/13740/
"Труба коаксиальная d 60/100 мм, 1,0 мATI

 ";1 171,67;/catalog/580/13739/
"Труба коаксиальная d 60/100 мм, 0,25 мATI

 ";n/a;/catalog/580/13737/
"Решетка газоотвода из нержавеющей стали d 80 ммATI

 ";490;/catalog/580/13736/
